year,type,weight_lbs,est_weight,ott,city,state,state_code,latitude,longitude,nearest_station
2013,Giant Pumpkin,1449.0,1484.0,415.0,Cecil,Ohio,OH,41.2186111,-84.6022222,USC00336405
2013,Giant Pumpkin,1446.0,1321.0,396.0,Richmond,Minnesota,MN,45.4541667,-94.5180556,USW00014926
2013,Giant Pumpkin,1443.0,1545.0,422.0,Sumner,Washington,WA,47.2033333,-122.2391667,USW00024233
2013,Giant Pumpkin,1442.5,1203.0,382.0,Ipswich,Massachusetts,MA,42.6791667,-70.8416667,USC00193276
2013,Giant Pumpkin,1435.0,1162.0,377.0,Salineville,Ohio,OH,40.6225,-80.8380556,USW00014852
2013,Giant Pumpkin,1429.0,1291.0,393.0,Northern Cambria,Pennsylvania,PA,40.6591667,-78.7819444,USC00362470
2013,Giant Pumpkin,1427.0,1368.0,402.0,Grand Rapids,Michigan,MI,42.9633333,-85.6680556,USW00094860
2013,Giant Pumpkin,1426.5,1338.0,398.0,Portsmouth,Rhode Island,RI,41.6022222,-71.2508333,USW00014765
2013,Giant Pumpkin,1419.0,1245.0,387.0,Gettysburg,Pennsylvania,PA,39.8308333,-77.23138890000001,USC00360656
2013,Giant Pumpkin,1415.5,1262.0,389.0,Albany,Oregon,OR,44.6366667,-123.1047222,USW00024232
2013,Giant Pumpkin,1412.5,1270.0,390.0,Columbiana,Ohio,OH,40.8883333,-80.6941667,USW00014852
2013,Giant Pumpkin,1412.5,1420.0,408.0,Cecil,Ohio,OH,41.2186111,-84.6022222,USC00336405
2013,Giant Pumpkin,1411.0,1313.0,395.0,Boscawen,New Hampshire,NH,43.315,-71.62138890000001,USC00274234
2013,Giant Pumpkin,1407.0,1355.0,400.0,Boscawen,New Hampshire,NH,43.315,-71.62138890000001,USC00274234
2013,Giant Pumpkin,1406.0,1407.0,406.0,Little Valley,New York,NY,42.2525,-78.8058333,USC00301625
2013,Giant Pumpkin,1405.0,1372.0,402.0,Grand Rapids,Michigan,MI,42.9633333,-85.6680556,USW00094860
2013,Giant Pumpkin,1399.0,1355.0,400.0,Halifax,Pennsylvania,PA,40.46805560000001,-76.93222220000001,USW00014711
2013,Giant Pumpkin,1392.0,1398.0,405.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1391.5,1262.0,389.0,Enon Valley,Pennsylvania,PA,40.8547222,-80.4572222,USW00094823
2013,Giant Pumpkin,1387.0,1296.0,393.0,New Richmond,Wisconsin,WI,45.1230556,-92.5363889,USW00014991
2013,Giant Pumpkin,1387.0,1484.0,415.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1385.0,1364.0,401.0,Howell,Michigan,MI,42.6072222,-83.92944440000002,USW00014826
2013,Giant Pumpkin,1383.5,1287.0,392.0,Napa,California,CA,38.2972222,-122.2844444,USW00093241
2013,Giant Pumpkin,1383.5,1454.0,412.0,Saegertown,Pennsylvania,PA,41.7188889,-80.1477778,USC00368361
2013,Giant Pumpkin,1379.5,1304.0,394.0,Salem,Oregon,OR,44.9430556,-123.0338889,USW00024232
2013,Giant Pumpkin,1378.0,1245.0,387.0,Santa Rosa,California,CA,38.4405556,-122.7133333,USC00043578
2013,Giant Pumpkin,1375.5,1129.0,373.0,New Richmond,Wisconsin,WI,45.1230556,-92.5363889,USW00014991
2013,Giant Pumpkin,1370.0,1254.0,388.0,Windsor,New York,NY,42.0758333,-75.6408333,USW00004725
2013,Giant Pumpkin,1357.5,1158.0,377.0,New Richmond,Wisconsin,WI,45.1230556,-92.5363889,USW00014991
2013,Giant Pumpkin,1357.0,1437.0,410.0,North Branch,New York,NY,41.8066667,-74.99194440000002,USW00004725
2013,Giant Pumpkin,1356.0,1138.0,374.0,Pittsford,Vermont,VT,43.7066667,-73.02861109999998,USW00014742
2013,Giant Pumpkin,1355.0,1287.0,392.0,Puyallup,Washington,WA,47.1855556,-122.2916667,USW00024233
2013,Giant Pumpkin,1352.0,1258.0,389.0,Santa Rosa,California,CA,38.4405556,-122.7133333,USC00043578
2013,Giant Pumpkin,1338.0,1270.0,390.0,Combined Locks,Wisconsin,WI,44.2658333,-88.3141667,USC00470265
2013,Giant Pumpkin,1333.0,1366.0,401.0,New Middletown,Ohio,OH,40.9611111,-80.5577778,USW00014852
2013,Giant Pumpkin,1332.0,1389.0,404.0,Santa Rosa,California,CA,38.4405556,-122.7133333,USC00043578
2013,Giant Pumpkin,1327.5,1304.0,394.0,Massillon,Ohio,OH,40.7966667,-81.5216667,USW00014895
2013,Giant Pumpkin,1326.0,1220.0,384.0,Holly,Michigan,MI,42.7919444,-83.62777779999998,USW00014826
2013,Giant Pumpkin,1325.0,1266.0,390.0,Huntsburg,Ohio,OH,41.5347222,-81.0519444,USC00331458
2013,Giant Pumpkin,1323.0,1270.0,390.0,Santa Rosa,California,CA,38.4405556,-122.7133333,USC00043578
2013,Giant Pumpkin,1318.4,1228.0,385.0,Streator,Illinois,IL,41.1208333,-88.8352778,USW00014842
2013,Giant Pumpkin,1317.0,1158.0,377.0,Holly,Michigan,MI,42.7919444,-83.62777779999998,USW00014826
2013,Giant Pumpkin,1316.5,1203.0,382.0,Albany,Oregon,OR,44.6366667,-123.1047222,USW00024232
2013,Giant Pumpkin,1315.5,1166.0,378.0,Kaukauna,Wisconsin,WI,44.2780556,-88.2719444,USC00470265
2013,Giant Pumpkin,1314.5,1268.0,390.0,Auburn,Washington,WA,47.3075,-122.2272222,USW00024233
2013,Giant Pumpkin,1313.5,1146.0,375.0,Ipswich,Massachusetts,MA,42.6791667,-70.8416667,USC00193276
2013,Giant Pumpkin,1313.0,1228.0,385.0,Pittsford,Vermont,VT,43.7066667,-73.02861109999998,USW00014742
2013,Giant Pumpkin,1312.0,1216.0,384.0,Hillsboro,New Hampshire,NH,43.1138889,-71.89583329999998,USC00274234
2013,Giant Pumpkin,1309.5,1368.0,402.0,Sharon,Massachusetts,MA,42.12361110000001,-71.1791667,USC00198757
2013,Giant Pumpkin,1307.0,1262.0,389.0,Gettysburg,Pennsylvania,PA,39.8308333,-77.23138890000001,USC00360656
2013,Giant Pumpkin,1305.0,1287.0,392.0,Richville,Minnesota,MN,46.5066667,-95.6252778,USC00214861
2013,Giant Pumpkin,1295.5,1291.0,393.0,Jamestown,New York,NY,42.0969444,-79.2355556,USC00301625
2013,Giant Pumpkin,1290.5,1125.0,373.0,Fairfield,Connecticut,CT,41.1411111,-73.2641667,USW00094702
2013,Giant Pumpkin,1290.0,1262.0,389.0,Honesdale,Pennsylvania,PA,41.5766667,-75.25916670000002,USW00054789
2013,Giant Pumpkin,1290.0,1191.0,381.0,Milton,Vermont,VT,44.6397222,-73.1108333,USW00014742
2013,Giant Pumpkin,1287.0,1270.0,390.0,Clackamas,Oregon,OR,45.4077778,-122.5691667,USC00356750
2013,Giant Pumpkin,1279.5,1238.0,386.0,Berlin Center,Ohio,OH,41.02444439999999,-80.9477778,USC00333780
