year,type,weight_lbs,est_weight,ott,city,state,state_code,latitude,longitude,nearest_station,station_id,rain_total,rain_daily_avg,rain_daily_stdev,TMIN,TMAX
2013,Giant Pumpkin,2032.0,2000.0,475.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1985.0,1809.0,453.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1894.0,1745.0,445.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1874.5,1667.0,436.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1659.0,1506.0,418.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1655.5,1536.0,421.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1599.0,1532.0,421.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1592.0,1627.0,432.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1503.0,1381.0,403.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1392.0,1398.0,405.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1387.0,1484.0,415.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1383.5,1287.0,392.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1266.0,1170.0,378.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1253.0,1195.0,381.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1174.0,1085.0,368.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1097.0,1065.0,365.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1080.0,963.0,352.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1056.0,1081.0,367.0,Clayton,California,CA,37.9411111,-121.93472220000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1038.0,1146.0,375.0,Napa,California,CA,38.2972222,-122.28444440000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1035.0,1037.0,362.0,Clayton,California,CA,37.9411111,-121.93472220000001,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,879.0,781.0,327.0,Concord,California,CA,37.97805560000001,-122.03,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,739.0,0.0,0.0,Concord,California,CA,37.97805560000001,-122.03,USW00093241,USW00093241,157,1.026143790849673,7.352897488690305,137.20261437908496,315.4901960784314
2013,Giant Pumpkin,1791.0,1619.0,431.0,Sumner,Washington,WA,47.2033333,-122.23916670000001,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1666.0,1723.0,443.0,Sumner,Washington,WA,47.2033333,-122.23916670000001,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1443.0,1545.0,422.0,Sumner,Washington,WA,47.2033333,-122.23916670000001,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1355.0,1287.0,392.0,Puyallup,Washington,WA,47.1855556,-122.29166670000001,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1314.5,1268.0,390.0,Auburn,Washington,WA,47.3075,-122.2272222,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1252.0,1220.0,384.0,Puyallup,Washington,WA,47.1855556,-122.29166670000001,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1209.5,1283.0,392.0,Spanaway,Washington,WA,47.1041667,-122.43333329999999,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1083.5,1208.0,383.0,Auburn,Washington,WA,47.3075,-122.2272222,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,1037.5,1033.0,361.0,Sumner,Washington,WA,47.2033333,-122.23916670000001,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,958.5,844.0,336.0,Puyallup,Washington,WA,47.1855556,-122.29166670000001,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,902.0,1029.0,361.0,Auburn,Washington,WA,47.3075,-122.2272222,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
2013,Giant Pumpkin,734.5,690.0,314.0,Algona,Washington,WA,47.27916670000001,-122.25083329999998,USW00024233,USW00024233,2848,18.61437908496732,55.18940165502395,132.15686274509804,233.03267973856208
